team,n_win,n_loss,yusag_coeff,seed,conference,finals,champ,loc_type
West Virginia,9,9,16.619319842986044,3,Big 12,0.3920000000000003,0.1470000000000001,N
Texas Tech,9,9,15.170228464484568,4,Big 12,0.17500000000000013,0.08000000000000006,N
Oklahoma,9,9,12.009640488524406,5,Big 12,0.06700000000000005,0.02100000000000001,N
Texas,9,9,8.532516269831861,6,Big 12,0.05300000000000004,0.007,N
Oklahoma St.,7,11,10.272871686533064,7,Big 12,0.07100000000000005,0.012000000000000004,N
TCU,7,11,7.480215939882564,8,Big 12,0.016000000000000007,0.002,N
N.C. Central,13,3,-7.382288753778611,1,MEAC,0.3980000000000003,0.19900000000000015,N
Norfolk St.,12,4,-5.389853894447033,2,MEAC,0.45800000000000035,0.25600000000000017,N
N.C. A&T,12,4,-6.998051119433214,3,MEAC,0.34000000000000025,0.20800000000000016,N
Bethune-Cookman,10,6,-7.788226528369087,4,MEAC,0.32700000000000023,0.16500000000000012,N
